objid,RA,DEC,Z,nQ,PROB
6dFg0900402-002912,135.16737,-0.48672,0.04015,3.0,0.0
6dFg0901496-002353,135.45654,-0.39797,0.05295,3.0,0.0
6dFg0902195-010443,135.58108,-1.07858,0.02809,3.0,0.0
6dFg0902245-011543,135.60213,-1.26206,0.07043,3.0,0.0
6dFg0903024-001201,135.75992,-0.20039,0.05401,3.0,0.0
6dFg0903127-004511,135.80283,-0.75292,0.04847,3.0,0.0
6dFg0903306-012250,135.87758,-1.38044,0.04014,3.0,0.0
6dFg0903308-010613,135.87842,-1.10347,0.03967,3.0,0.0
6dFg0903322-010605,135.88417,-1.10131,0.04062,3.0,0.0
6dFg0903521-005353,135.96687,-0.89806,0.10316,3.0,0.0
6dFg0905132-002948,136.30488,-0.49656,0.02777,3.0,0.0
6dFg0906050-001537,136.521,-0.26036,0.03993,3.0,0.0
6dFg0906396-005155,136.66483,-0.86531,0.03008,3.0,0.0
6dFg0906490-010108,136.70417,-1.01883,0.09503,3.0,0.0
6dFg0906570-000725,136.73754,-0.12356,0.01886,3.0,0.0
6dFg0907122-012832,136.80079,-1.47558,0.06986,3.0,0.0
6dFg0907131-000323,136.80462,-0.05631,0.09316,3.0,0.0
6dFg0907190-005209,136.82913,-0.86925,0.05834,3.0,0.0
6dFg0907367-011126,136.90308,-1.1905,0.0537,3.0,0.0
6dFg0907443-013845,136.93458,-1.64569,0.04702,3.0,0.0
6dFg0908057-014652,137.02371,-1.78108,0.04008,3.0,0.0
6dFg0908118-014808,137.04913,-1.80208,0.03987,3.0,0.0
6dFg0908231-013641,137.09625,-1.61133,0.04709,3.0,0.0
6dFg0908283-015805,137.11787,-1.96794,0.0886,3.0,0.0
6dFg0908375-014512,137.15637,-1.75322,0.02744,3.0,0.0
6dFg0909170-010959,137.32092,-1.16636,0.02757,3.0,0.0
6dFg0909251-014432,137.35475,-1.74233,0.02809,3.0,0.0
6dFg0909289-011039,137.37021,-1.17758,0.01215,3.0,0.0
6dFg0909403-000629,137.41783,-0.10811,0.07032,3.0,0.0
6dFg0910503-013258,137.70946,-1.54931,0.03988,3.0,0.0
6dFg0911344-005154,137.89346,-0.86503,0.05519,3.0,0.0
6dFg0912005-015515,138.00196,-1.92083,0.055,3.0,0.0
6dFg0912011-014220,138.00467,-1.70547,0.04655,3.0,0.0
6dFg0912554-011446,138.23075,-1.246,0.14524,3.0,0.0
